TT=191,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=192,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=193,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=194,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=195,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=196,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=197,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=198,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=199,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=200,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=201,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=202,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=203,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=3.833333e-001
TT=204,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=205,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=206,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=207,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=208,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=209,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=210,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=211,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=212,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=213,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=214,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=3.833333e-001
TT=215,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=216,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=217,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=218,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=219,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=220,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=221,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=222,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=223,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=224,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=225,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=226,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=227,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=228,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=229,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=230,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=231,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=232,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=233,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=234,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=235,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=236,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=237,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=238,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=239,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=240,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.000000e-001
TT=241,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=242,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=243,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=244,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=245,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=246,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=247,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=248,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=249,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=250,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=251,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=252,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=253,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=254,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=255,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=256,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=257,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=258,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=259,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=260,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=261,DIM= 50,RightCount=57,RightRatio=9.500000e-001,train_error=4.166667e-001
TT=262,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=263,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.166667e-001
TT=264,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=265,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=266,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=267,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=268,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=269,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=270,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=271,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=272,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=273,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=274,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.333333e-001
TT=275,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=276,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=277,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=278,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=279,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=280,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=281,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=282,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=283,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=284,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=285,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.500000e-001
TT=286,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.666667e-001
TT=287,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.666667e-001
TT=288,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.666667e-001
TT=289,DIM= 50,RightCount=58,RightRatio=9.666667e-001,train_error=4.666667e-001
